,subj,runwise_similarity_change
0,0110171_neurosketch,1.9642857142857144
1,0110172_neurosketch,0.71428571428571419
2,0111171_neurosketch,0.035714285714285476
3,0112171_neurosketch,0.35714285714285698
4,0112172_neurosketch,1.3571428571428572
5,0112173_neurosketch,1.642857142857143
6,0113171_neurosketch,0.35714285714285698
7,0115172_neurosketch,1.1428571428571428
8,0115174_neurosketch,1.642857142857143
9,0117171_neurosketch,0.42857142857142849
10,0118171_neurosketch,1.0714285714285714
11,0118172_neurosketch,1.8928571428571428
12,0119171_neurosketch,0.17857142857142849
13,0119172_neurosketch,0.5
14,0119173_neurosketch,1.785714285714286
15,0119174_neurosketch,1.4285714285714286
16,0120171_neurosketch,0.28571428571428559
17,0120172_neurosketch,1.6785714285714288
18,0120173_neurosketch,1.785714285714286
19,0123171_neurosketch,1.8214285714285716
20,0123172_neurosketch,0.14285714285714268
21,0123173_neurosketch,0.60714285714285698
22,0124171_neurosketch,0.39285714285714279
23,0125171_neurosketch,1.7500000000000002
24,0125172_neurosketch,0.24999999999999978
25,1121161_neurosketch,0.89285714285714279
26,1130161_neurosketch,0.89285714285714279
27,1201161_neurosketch,0.42857142857142849
28,1202161_neurosketch,0.17857142857142849
29,1203161_neurosketch,0.1071428571428571
30,1206161_neurosketch,0.42857142857142849
31,1206162_neurosketch,0.1071428571428571
32,1206163_neurosketch,0.89285714285714279
33,1207161_neurosketch,0.42857142857142849
34,1207162_neurosketch,1.0357142857142858
